************************************************************************
        TABLE OF ISOTOPES  0.780E-02  0.100E+01

        NO. SYMBOL T/F MASSNR PROTON
         163  =  NGIS           1  =  ISOMERS
      3 T  2  HE  3  +  0  OOOOO  ->  1  HE  4  +  2  PROT    0.000E+00  VITAL  (v,v)  99   1.000E+00   1.241E+19
      4 T  1  HE  4  +  1  HE  3  ->  1  BE  7  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   1.530E+18
      5 T  1  BE  7  +  0  OOOOO  ->  1  LI  7  +  0  OOOOO   0.000E+00  VITAL  (+,g)  14   1.000E+00   1.587E+18
      6 T  1  LI  7  +  1  PROT   ->  2  HE  4  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   1.674E+19
      7 T  1  BE  7  +  1  PROT   ->  1  B   8  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   1.331E+17
      8 T  1  B   8  +  0  OOOOO  ->  2  HE  4  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   1.819E+19
      9 T  1  B   8  +  0  OOOOO  ->  1  BE  7  +  1  PROT    0.000E+00  VITAL  (g,p)   6   1.000E+00  -1.331E+17
     10 T  1  BE  7  +  1  HE  4  ->  1  C  11  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   7.280E+18
     11 T  1  LI  7  +  1  HE  4  ->  1  B  11  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   8.360E+18
     12 T  1  B  11  +  1  HE  4  ->  1  N  14  +  1  NEUT    0.000E+00  VITAL  (a,n)  11   1.000E+00   1.531E+17
     13 T  1  B  11  +  1  PROT   ->  3  HE  4  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   8.377E+18
     14 F  1  C  12  +  1  PROT   ->  1  N  13  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     15 F  1  C  13  +  1  PROT   ->  1  N  14  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     16 T  1  N  13  +  1  PROT   ->  1  O  14  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   4.464E+18
     17 T  1  N  14  +  1  PROT   ->  1  O  15  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   7.040E+18
     18 F  1  N  15  +  1  PROT   ->  1  C  12  +  1  HE  4   0.000E+00  VITAL  (p,a)   8   1.000E+00   0.000E+00
     19 F  1  N  15  +  1  PROT   ->  1  O  16  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     20 F  1  O  16  +  1  PROT   ->  1  F  17  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     21 F  1  O  17  +  1  PROT   ->  1  N  14  +  1  HE  4   0.000E+00  VITAL  (p,a)   8   1.000E+00   0.000E+00
     22 F  1  O  17  +  1  PROT   ->  1  F  18  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     23 F  1  O  18  +  1  PROT   ->  1  N  15  +  1  HE  4   0.000E+00  VITAL  (p,a)   8   1.000E+00   0.000E+00
     24 F  1  O  18  +  1  PROT   ->  1  F  19  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     25 F  1  F  19  +  1  PROT   ->  1  O  16  +  1  HE  4   0.000E+00  VITAL  (p,a)   8   1.000E+00   0.000E+00
     26 F  1  F  19  +  1  PROT   ->  1  NE 20  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     27 F  1  NE 20  +  1  PROT   ->  1  NA 21  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     28 F  1  NE 21  +  1  PROT   ->  1  NA 22  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     29 F  1  NE 22  +  1  PROT   ->  1  NA 23  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     30 F  1  NA 22  +  1  PROT   ->  1  NA 23  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     31 F  1  NA 23  +  1  PROT   ->  1  NE 20  +  1  HE  4   0.000E+00  VITAL  (p,a)   8   1.000E+00   0.000E+00
     32 F  1  NA 23  +  1  PROT   ->  1  MG 24  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     33 F  1  MG 24  +  1  PROT   ->  1  AL 25  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     34 T  1  MG 25  +  1  PROT   ->  1  AL 26  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   6.084E+18
     35 F  1  MG 25  +  1  PROT   ->  1  MG 26  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     36 F  1  MG 26  +  1  PROT   ->  1  AL 27  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     37 F  1  AL 26  +  1  PROT   ->  1  SI 27  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     38 T  1  AL 27  +  1  PROT   ->  1  MG 24  +  1  HE  4   0.000E+00  VITAL  (p,a)   8   1.000E+00   1.545E+18
     39 T  1  AL 27  +  1  PROT   ->  1  SI 28  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   1.118E+19
     40 F  1  SI 28  +  1  PROT   ->  1  P  29  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     41 F  1  SI 29  +  1  PROT   ->  1  P  30  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     42 F  1  SI 30  +  1  PROT   ->  1  P  31  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   0.000E+00
     43 T  3  HE  4  +  0  OOOOO  ->  1  C  12  +  0  OOOOO   0.000E+00  VITAL  (v,v)  99   1.000E+00   7.019E+18
     44 T  1  C  12  +  1  HE  4  ->  1  O  16  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   6.910E+18
     45 T  1  C  13  +  1  HE  4  ->  1  O  16  +  1  NEUT    0.000E+00  VITAL  (a,n)  11   1.000E+00   2.138E+18
     46 F  1  N  14  +  1  HE  4  ->  1  F  18  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   0.000E+00
     47 F  1  O  16  +  1  HE  4  ->  1  NE 20  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   0.000E+00
     48 F  1  O  18  +  1  HE  4  ->  1  NE 22  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   0.000E+00
     49 F  1  NE 20  +  1  HE  4  ->  1  MG 24  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   0.000E+00
     50 F  1  NE 21  +  1  HE  4  ->  1  MG 24  +  1  NEUT    0.000E+00  VITAL  (a,n)  11   1.000E+00   0.000E+00
     51 F  1  NE 22  +  1  HE  4  ->  1  MG 26  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   0.000E+00
     52 T  1  NE 22  +  1  HE  4  ->  1  MG 25  +  1  NEUT    0.000E+00  VITAL  (a,n)  11   1.000E+00  -4.615E+17
     53 F  1  MG 24  +  1  HE  4  ->  1  SI 28  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   0.000E+00
     54 T  1  C  14  +  1  HE  4  ->  1  O  18  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   6.008E+18
     55 T  1  C  14  +  1  PROT   ->  1  N  15  +  0  OOOOO   0.000E+00  VITAL  (p,g)   5   1.000E+00   9.849E+18
     56 F  1  N  15  +  1  HE  4  ->  1  F  19  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   0.000E+00
     57 T  1  O  17  +  1  HE  4  ->  1  NE 21  +  0  OOOOO   0.000E+00  VITAL  (a,g)   9   1.000E+00   7.090E+18
     58 T  1  O  17  +  1  HE  4  ->  1  NE 20  +  1  NEUT    0.000E+00  VITAL  (a,n)  11   1.000E+00   5.661E+17
     59 T  2  C  12  +  0  OOOOO  ->  1  NA 23  +  1  PROT    0.000E+00  VITAL  (v,v)  99   1.000E+00   2.162E+18
     60 T  2  C  12  +  0  OOOOO  ->  1  NE 20  +  1  HE  4   0.000E+00  VITAL  (v,v)  99   1.000E+00   4.455E+18
     61 T  2  C  12  +  0  OOOOO  ->  1  MG 23  +  1  NEUT    0.000E+00  VITAL  (v,v)  99   1.000E+00  -2.506E+18
     62 T  1  NE 20  +  1  HE  4  ->  1  NA 23  +  1  PROT    0.000E+00  VITAL  (a,p)  12   1.000E+00  -2.292E+18
     63 T  1  NA 23  +  1  HE  4  ->  1  MG 26  +  1  PROT    0.000E+00  VITAL  (a,p)  12   1.000E+00   1.757E+18
     64 T  1  MG 24  +  1  HE  4  ->  1  AL 27  +  1  PROT    0.000E+00  VITAL  (a,p)  12   1.000E+00  -1.545E+18
     65 T  1  MG 25  +  1  HE  4  ->  1  SI 28  +  1  NEUT    0.000E+00  VITAL  (a,n)  11   1.000E+00   2.560E+18
     66 T  2  O  16  +  0  OOOOO  ->  1  P  31  +  1  PROT    0.000E+00  VITAL  (v,v)  99   1.000E+00   7.408E+18
     67 T  2  O  16  +  0  OOOOO  ->  1  SI 28  +  1  HE  4   0.000E+00  VITAL  (v,v)  99   1.000E+00   9.257E+18
     68 T  2  O  16  +  0  OOOOO  ->  1  S  31  +  1  NEUT    0.000E+00  VITAL  (v,v)  99   1.000E+00   1.447E+18
     69 T  1  O  16  +  1  C  12  ->  1  AL 27  +  1  PROT    0.000E+00  VITAL  (v,v)  99   1.000E+00   4.989E+18
