 initial abundance for selected isotopes
  210   0.00000E+00  SI 47
  211   0.00000E+00  SI 48
  212   0.00000E+00  SI 49
  213   0.00000E+00  SI 50
  214   0.00000E+00  SI 51
  215   0.00000E+00  SI 52
  216   0.00000E+00  SI 53
  217   0.00000E+00  SI 54
  218   0.00000E+00  P  23
  219   0.00000E+00  P  24
  220   0.00000E+00  P  25
  221   0.00000E+00  P  26
  222   0.00000E+00  P  27
  223   0.00000E+00  P  28
  224   0.00000E+00  P  32
  225   0.00000E+00  P  33
  226   0.00000E+00  P  34
  227   0.00000E+00  P  35
  228   0.00000E+00  P  36
  229   0.00000E+00  P  37
  230   0.00000E+00  P  38
  231   0.00000E+00  P  39
  232   0.00000E+00  P  40
  233   0.00000E+00  P  41
  234   0.00000E+00  P  42
  235   0.00000E+00  P  43
  236   0.00000E+00  P  44
  237   0.00000E+00  P  45
  238   0.00000E+00  P  46
  239   0.00000E+00  P  47
  240   0.00000E+00  P  48
  241   0.00000E+00  P  49
  242   0.00000E+00  P  50
  243   0.00000E+00  P  51
  244   0.00000E+00  P  52
  245   0.00000E+00  P  53
  246   0.00000E+00  P  54
  247   0.00000E+00  P  55
  248   0.00000E+00  P  56
  249   0.00000E+00  P  57
  250   0.00000E+00  S  25
  251   0.00000E+00  S  26
  252   0.00000E+00  S  27
  253   0.00000E+00  S  28
  254   0.00000E+00  S  29
  255   0.00000E+00  S  30
  256   4.01087E-04  S  32
  257   3.26481E-06  S  33
  258   1.89042E-05  S  34
  259   0.00000E+00  S  35
  260   8.07299E-08  S  36
  261   0.00000E+00  S  37
  262   0.00000E+00  S  38
  263   0.00000E+00  S  39
  264   0.00000E+00  S  40
  265   0.00000E+00  S  41
  266   0.00000E+00  S  42
  267   0.00000E+00  S  43
  268   0.00000E+00  S  44
  269   0.00000E+00  S  45
  270   0.00000E+00  S  46
  271   0.00000E+00  S  47
  272   0.00000E+00  S  48
  273   0.00000E+00  S  49
  274   0.00000E+00  S  50
  275   0.00000E+00  S  51
  276   0.00000E+00  S  52
  277   0.00000E+00  S  53
  278   0.00000E+00  S  54
  279   0.00000E+00  S  55
  280   0.00000E+00  S  56
  281   0.00000E+00  S  57
  282   0.00000E+00  S  58
  283   0.00000E+00  S  59
  284   0.00000E+00  S  60
  285   0.00000E+00  CL 26
  286   0.00000E+00  CL 27
  287   0.00000E+00  CL 28
  288   0.00000E+00  CL 29
  289   0.00000E+00  CL 30
  290   0.00000E+00  CL 31
  291   0.00000E+00  CL 32
  292   0.00000E+00  CL 33
  293   0.00000E+00  CL 34
  294   6.82109E-06  CL 35
  295   0.00000E+00  CL 36
  296   2.30579E-06  CL 37
  297   0.00000E+00  CL 38
  298   0.00000E+00  CL 39
  299   0.00000E+00  CL 40
  300   0.00000E+00  CL 41
  301   0.00000E+00  CL 42
  302   0.00000E+00  CL 43
  303   0.00000E+00  CL 44
  304   0.00000E+00  CL 45
  305   0.00000E+00  CL 46
  306   0.00000E+00  CL 47
  307   0.00000E+00  CL 48
  308   0.00000E+00  CL 49
  309   0.00000E+00  CL 50
  310   0.00000E+00  CL 51
  311   0.00000E+00  CL 52
  312   0.00000E+00  CL 53
  313   0.00000E+00  CL 54
