H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
   60    10.  18.   1   3.14655E-03  NE 18
   61    10.  19.   1   1.47358E-04  NE 19
   62    10.  23.   1   1.00000E-99  NE 23
   63    10.  24.   1   1.00000E-99  NE 24
   64    11.  20.   1   5.30152E-08  NA 20
   65    11.  24.   1   2.92399E-21  NA 24
   66    12.  21.   1   1.17695E-08  MG 21
   67    12.  22.   1   1.51257E-02  MG 22
   68    12.  27.   1   2.76294E-24  MG 27
   69    12.  28.   1   1.00000E-99  MG 28
   70    13.  23.   1   6.53190E-08  AL 23
   71    13.  24.   1   3.54128E-03  AL 24
   72    13.  28.   1   1.42853E-18  AL 28
   73    13.  29.   1   1.00000E-99  AL 29
   74    13.  30.   1   1.00000E-99  AL 30
   75    13.  31.   1   1.00000E-99  AL 31
   76    14.  25.   1   3.34325E-04  SI 25
   77    14.  26.   1   1.13052E-03  SI 26
   78    14.  31.   1   1.35582E-18  SI 31
   79    14.  32.   1   1.00000E-99  SI 32
   80    14.  33.   1   1.00000E-99  SI 33
   81    15.  27.   1   1.19365E-03  P  27
   82    15.  28.   1   1.51291E-03  P  28
   83    15.  32.   1   6.14542E-16  P  32
   84    15.  33.   1   3.16277E-16  P  33
   85    15.  34.   1   1.00000E-99  P  34
   86    15.  35.   1   1.00000E-99  P  35
   87    15.  36.   1   1.00000E-99  P  36
   88    15.  37.   1   1.00000E-99  P  37
   89    15.  38.   1   1.00000E-99  P  38
   90    16.  28.   1   1.74512E-09  S  28
   91    16.  29.   1   7.74142E-23  S  29
   92    16.  30.   1   5.50138E-03  S  30
   93    16.  32.   1   1.14527E-01  S  32
   94    16.  33.   1   1.11439E-02  S  33
   95    16.  34.   1   2.25947E-03  S  34
   96    16.  35.   1   2.30570E-15  S  35
   97    16.  36.   1   2.94046E-25  S  36
   98    16.  37.   1   1.00000E-99  S  37
   99    16.  38.   1   1.00000E-99  S  38
  100    16.  39.   1   1.00000E-99  S  39
  101    16.  40.   1   1.00000E-99  S  40
  102    17.  31.   1   6.73640E-06  CL 31
  103    17.  32.   1   1.52588E-05  CL 32
  104    17.  33.   1   1.29382E-02  CL 33
  105    17.  34.   1   4.10750E-03  CL 34
  106    17.  35.   1   7.75242E-03  CL 35
  107    17.  36.   1   2.33611E-14  CL 36
  108    17.  37.   1   1.07686E-10  CL 37
  109    17.  38.   1   4.99395E-23  CL 38
  110    17.  39.   1   1.00000E-99  CL 39
  111    17.  40.   1   1.00000E-99  CL 40
  112    17.  41.   1   1.00000E-99  CL 41
  113    17.  42.   1   1.00000E-99  CL 42
  114    17.  43.   1   1.00000E-99  CL 43
  115    17.  44.   1   1.00000E-99  CL 44
  116    18.  32.   1   1.01588E-12  AR 32
  117    18.  33.   1   1.58762E-09  AR 33
  118    18.  34.   1   5.09051E-11  AR 34
  119    18.  35.   1   3.86973E-03  AR 35
  120    18.  36.   1   2.78618E-03  AR 36
  121    18.  37.   1   1.22322E-02  AR 37
  122    18.  38.   1   4.46435E-05  AR 38
  123    18.  39.   1   4.23993E-17  AR 39
  124    18.  40.   1   2.91122E-11  AR 40
  125    18.  41.   1   1.13850E-22  AR 41
  126    18.  42.   1   1.00000E-99  AR 42
  127    18.  43.   1   1.00000E-99  AR 43
  128    18.  44.   1   1.00000E-99  AR 44
  129    18.  45.   1   1.00000E-99  AR 45
  130    18.  46.   1   1.00000E-99  AR 46
  131    19.  35.   1   5.53667E-19  K  35
  132    19.  36.   1   1.67014E-05  K  36
  133    19.  37.   1   3.59892E-03  K  37
  134    19.  38.   1   4.57149E-03  K  38
  135    19.  39.   1   8.04383E-04  K  39
  136    19.  40.   1   4.19055E-15  K  40
  137    19.  41.   1   1.98414E-09  K  41
  138    19.  42.   1   5.46234E-20  K  42
  139    19.  43.   1   1.00000E-99  K  43
  140    19.  44.   1   1.00000E-99  K  44
  141    19.  45.   1   1.00000E-99  K  45
  142    19.  46.   1   1.00000E-99  K  46
  143    19.  47.   1   1.00000E-99  K  47
  144    19.  48.   1   1.00000E-99  K  48
  145    19.  49.   1   1.00000E-99  K  49
  146    20.  36.   1   6.18584E-25  CA 36
  147    20.  37.   1   1.00000E-99  CA 37
  148    20.  38.   1   1.00000E-99  CA 38
  149    20.  39.   1   1.45371E-04  CA 39
  150    20.  40.   1   1.24757E-04  CA 40
  151    20.  41.   1   3.84588E-08  CA 41
  152    20.  42.   1   1.14210E-08  CA 42
  153    20.  43.   1   4.45706E-09  CA 43
  154    20.  44.   1   1.21382E-09  CA 44
  155    20.  45.   1   8.31339E-21  CA 45
  156    20.  46.   1   1.00000E-99  CA 46
  157    20.  47.   1   1.00000E-99  CA 47
  158    20.  48.   1   1.00000E-99  CA 48
  159    20.  49.   1   1.00000E-99  CA 49
  160    20.  50.   1   1.00000E-99  CA 50
  161    13.  26.   2   1.58615E-05  AL*26
