H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      300 dzeit  1.31E-08 agej  2.5978E-06
 # t9 =    3.384E-01 rho =    3.337E+02
 # densn  6.23596E+05
 # densp  3.78754E+25
 # densa  1.08864E+25
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
    1     0.   1.   1   3.10348E-21  NEUT 
    2     1.   1.   1   1.88496E-01  PROT 
    3     1.   2.   1   2.93734E-19  H   2
    4     2.   3.   1   1.17815E-15  HE  3
    5     2.   4.   1   2.16716E-01  HE  4
    6     4.   7.   1   2.44552E-06  BE  7
    7     5.   8.   1   7.69077E-12  B   8
    8     3.   7.   1   4.44127E-19  LI  7
    9     6.  11.   1   1.00000E-99  C  11
   10     5.  11.   1   8.10755E-20  B  11
   11     6.  12.   1   1.79812E-05  C  12
   12     6.  13.   1   1.81590E-08  C  13
   13     7.  13.   1   1.49309E-03  N  13
   14     7.  14.   1   3.38785E-06  N  14
   15     6.  14.   1   5.44093E-17  C  14
   16     7.  15.   1   1.50748E-09  N  15
   17     8.  16.   1   2.18861E-04  O  16
   18     8.  17.   1   1.26027E-06  O  17
   19     8.  18.   1   7.03195E-16  O  18
   20     9.  17.   1   1.74070E-02  F  17
   21     9.  18.   1   5.16721E-07  F  18
   22     9.  19.   1   2.91971E-10  F  19
   23    10.  20.   1   8.02672E-03  NE 20
   24    10.  21.   1   2.65397E-10  NE 21
   25    10.  22.   1   3.29318E-14  NE 22
   26    11.  22.   1   1.86925E-05  NA 22
   27    11.  23.   1   3.20569E-06  NA 23
   28    12.  23.   1   2.42317E-02  MG 23
   29    12.  24.   1   5.13643E-06  MG 24
   30    12.  25.   1   8.55916E-06  MG 25
   31    12.  26.   1   8.70808E-09  MG 26
   32    13.  26.   1   1.59932E-05  AL 26
   33    13.  27.   1   6.48420E-05  AL 27
   34    14.  27.   1   3.41128E-03  SI 27
   35    14.  28.   1   1.26244E-02  SI 28
   36    14.  29.   1   1.98791E-04  SI 29
   37    14.  30.   1   3.24596E-05  SI 30
   38    15.  31.   1   4.35579E-03  P  31
   39    16.  31.   1   3.99568E-02  S  31
   46     4.   8.   1   1.00000E-99  BE  8
   47     8.  14.   1   1.90706E-02  O  14
   48     8.  15.   1   2.11300E-01  O  15
   49    11.  21.   1   5.22093E-06  NA 21
   50    13.  25.   1   5.18334E-03  AL 25
   51    15.  29.   1   2.65083E-02  P  29
   52    15.  30.   1   8.02580E-03  P  30
   58     9.  20.   1   2.65081E-26  F  20
   59    10.  17.   1   1.00000E-99  NE 17
